1. Coding Syntax,2. Learning Environment,3. Project Assignment,4. Seek Assistance
順序性,鍵盤,性質,講師
印出,滑鼠,前進,老師
文字,螢幕,直流馬達,學長
宣告,網路,馬達,學姊
變數,筆電,輪子,助教
輸入,電腦,逆時鐘,問題
input,電源,逆時針,請教
輸出,電池,順時針,哥哥
output,fliprobot,順時鐘,姊姊
debug,flipcode,旋轉,想問
debugging,arduino,左方,
編譯,機器人,右方,
結果,自走車,控制,
定義,翻轉機器人,輪胎,
define,紙,車輪,
執行,開發,左邊,
函數,環境,右邊,
function,windows,方向,
程式,參考,M1,
整數,檔案,M2,
字串,notebook,速度,
if,簡報,前進,
else,教材,後退,
控制,ppt,退後,
數學,拼圖,左轉,
函式,方塊,右轉,
序列埠動作,開機,void,
如果,重啟,setup,
區塊,關機,loop,
程式碼,按鈕,task,
語法,blockly,任務,
錯,,直線,
Error,,筆直,
錯誤,,往前,
且,,直直的,
類型,,走,
型態,,秒,
type,,停止,
真,,倒車,
格式,,倒車入庫,
規則,,路邊停車,
假,,障礙物,
運算,,超音波,
不成立,,感應器,
邏輯,,聲音,
條件,,回傳,
判斷,,距離,
else if,,公分,
and,,毫秒,
空,,圍繞,
or,,圍著,
或,,繞圈,
成立,,360度,
否則如果,,繞過去,
否則,,紅外線,
初始設定,,紅外光,
循環,,黑色,
指令,,白色,
重複,,表面,
中斷,,反射,
重複執行,,電子訊息,
分號,,蜂鳴器,
繼續,,do,
延遲,,re,
到,,mi ,
回傳,,fa ,
設定,,so,
元素,,la,
改,,si,
修改,,沿著,
新增,,走完,
加上,,一整圈,
刪除,,沿線,
delete,,循線,
插入,,跑出來,
取出,,衝出去,
長度,,1號,
等於,,2號,
大於,,操控,
小於,,操作,
拉方塊,,黑線,
由上而下,,偵測,
編輯,,右偏,
灰色,,左偏,
燒錄,,基本,
燒進去,,範例,
讀進去,,例子,
清除,,舉例,
port,,,
upload,,,
load,,,
file,,,
serial,,,
code,,,
延遲,,,
數值,,,
搭配,,,
